"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"8198","AL",1913,"hoopeha01",6,0.13,8664000,0.91,17056.0404281233
"8199","NL",1941,"mastepa01",34,0.07,11276000,0.49,17050.269598744
"8200","NL",1921,"sedgwdu01",214,0.18,9029000,1.26,17043.9748402872
"8201","AL",1945,"crowswo01",9,-0.01,11860000,-0.07,17026.6063401741
"8202","NL",1925,"stuelge01",9,0.08,9425000,0.56,17025.9001596631
"8203","NL",1926,"boehlge01",104,0.07,9524000,0.49,17022.4977599366
"8204","NL",1893,"sigsbse01",9,-0.1,5181000,-0.7,17021.7490972441
"8205","NL",1941,"lyonshe01",4,0.06,11276000,0.42,17013.3837495311
"8206","AL",1930,"bushefr01",90,-0.02,9920000,-0.14,17008.032529099
"8207","NL",1935,"greenha02",3,-0.01,10525000,-0.07,17002.8780829322
"8208","NL",1911,"camniha01",6,0.12,8588000,0.84,16990.6739990998
"8209","AL",1934,"flohrmo01",92,-0.03,10404000,-0.21,16986.3522756667
"8210","AL",1964,"grayda01",39,-0.64,22188000,-4.48,16979.0662132254
"8211","NL",1893,"yostgu01",8,-0.11,5181000,-0.77,16975.3219625791
"8212","AL",1963,"lovripe01",62,-0.71,21536000,-4.97,16972.6899825807
"8213","NL",1890,"bowmasu01",236,-2.02,5010000,-14.14,16971.6323201731
"8214","AL",1914,"beckge01",3,0.08,8702000,0.56,16971.0390628692
"8215","AL",1951,"herrebo01",7,-0.22,13289000,-1.54,16970.7938240465
"8216","NL",1923,"gillha01",3,0.07,9227000,0.49,16969.4864635841
"8217","NL",1947,"schulmi01",6,-0.05,12152000,-0.35,16968.6636739048
"8218","AL",1908,"chaseha01",1,0.03,7956000,0.21,16967.0680741775
"8219","NL",1912,"lowdelo01",45,0.07,8626000,0.49,16965.9319454965
"8220","NL",1901,"felixha01",6,0.14,5877000,0.98,16965.2250302396
"8221","NL",1927,"boneyha01",12,0.07,9623000,0.49,16957.2926631925
"8222","NL",1933,"butlech01",3,-0.01,10283000,-0.07,16956.6127640813
"8223","AL",1933,"craghho01",52,-0.03,10283000,-0.21,16954.7534614271
"8224","AL",1918,"reesst01",6,0.11,8854000,0.77,16954.4563402562
"8225","AL",1955,"curribi01",13,-0.29,16085000,-2.03,16949.717817299
"8226","AL",1907,"mcgilbi01",55,0.08,7659000,0.56,16943.0613911087
"8227","AL",1962,"manniji02",21,-0.45,20884000,-3.15,16942.4210791271
"8228","AL",1944,"partest02",3,-0.14,11714000,-0.98,16940.7192939695
"8229","AL",1924,"fitzkpa01",12,0.09,9326000,0.63,16936.5683786692
"8230","AL",1903,"pearsal01",91,0.04,6471000,0.28,16934.0378776981
"8231","AL",1943,"mainsji01",24,-0.09,11568000,-0.63,16928.7436179228
"8232","NL",1910,"goodra01",27,0.14,8550000,0.98,16922.0144146211
"8233","NL",1948,"lakemal01",2,-0.02,12298000,-0.14,16901.0706325532
"8234","NL",1914,"schauru01",67,0.08,8702000,0.56,16897.5811521334
"8235","AL",1916,"whittwa01",6,0.02,8778000,0.14,16890.1404963408
"8236","AL",1932,"mcnaugo01",63,0,10162000,0,16889.5533460157
"8237","AL",1918,"dyerbe01",5,0.11,8854000,0.77,16889.4629587063
"8238","NL",1897,"lippto01",9,-0.17,5409000,-1.19,16886.4024982218
"8239","AL",1919,"mapelro01",60,-0.03,8892000,-0.21,16886.1898596547
"8240","AL",1920,"sandero02",52,0.11,8930000,0.77,16885.0590078028
"8241","NL",1929,"bradsjo01",12,0.02,9821000,0.14,16875.5100716938
"8242","NL",1944,"wisero01",9,-0.14,11714000,-0.98,16871.8830451263
"8243","NL",1925,"paulsgi01",6,0.07,9425000,0.49,16871.1166635098
"8244","AL",1930,"stilero01",310,-0.03,9920000,-0.21,16867.9518551624
