"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5944","AL",1940,"hashhe01",360,1.2,11130000,8.4,30481.335483873
"5945","NL",2008,"gallase01",346,-0.18,73764000,-1.26,30480.2439361306
"5946","NL",1897,"dohened01",255,1.43,5409000,10.01,30474.6992812362
"5947","NL",2015,"roberke02",41,-0.18,87095000,-1.26,30473.5925174445
"5948","NL",2009,"garatvi01",6,-0.17,74977000,-1.19,30466.0644589638
"5949","NL",2006,"campbbr02",13,-0.13,71338000,-0.91,30465.0164382108
"5950","AL",2002,"millema01",2,-0.15,66486000,-1.05,30464.7268998444
"5951","AL",2017,"jankojo01",13,-0.22,91457000,-1.54,30459.9857185218
"5952","AL",2000,"jonesma02",7,-0.13,64060000,-0.91,30449.4309547662
"5953","AL",1995,"davissc01",13,0,52370000,0,30447.454335581
"5954","AL",1989,"lovelva01",3,0.06,40249000,0.42,30443.2075287532
"5955","NL",1984,"hagenke01",22,0.13,38094000,0.91,30439.6576370953
"5956","AL",1977,"cuellbo01",20,0.16,33289000,1.12,30434.2836198951
"5957","NL",2007,"dovede01",9,-0.15,72551000,-1.05,30432.2288888886
"5958","NL",1988,"meadsda01",119,0.08,39818000,0.56,30423.2728245908
"5959","NL",1887,"sullima01",7,0,4827000,0,30414.2337309713
"5960","AL",1954,"mcdonji04",213,0.58,15386000,4.06,30403.8634481364
"5961","AL",1960,"leemi01",27,0.17,19580000,1.19,30400.9377178301
"5962","AL",1989,"corbesh01",16,0.05,40249000,0.35,30399.7723916722
"5963","NL",2000,"smithbr03",13,-0.13,64060000,-0.91,30398.2511247949
"5964","AL",2018,"coveydy01",365,-0.21,93638000,-1.47,30391.7156702124
"5965","AL",2003,"nakammi01",38,-0.19,67699000,-1.33,30380.244227224
"5966","NL",1990,"hiltoho01",9,0.13,40680000,0.91,30363.9876872088
"5967","NL",2008,"jacksza01",175,-0.21,73764000,-1.47,30358.1116369028
"5968","NL",1995,"karpry01",6,0,52370000,0,30353.1169497916
"5969","AL",2018,"bellch02",22,-0.2,93638000,-1.4,30347.6186427738
"5970","AL",1979,"feltote01",6,0.08,35343000,0.56,30346.5877947547
"5971","AL",1976,"monrola01",65,0.08,32262000,0.56,30346.5070729114
"5972","NL",1973,"shanagr01",47,0.12,29181000,0.84,30344.3342169553
"5973","NL",1991,"rodriro02",46,0.01,43018000,0.07,30342.869200125
"5974","NL",2007,"segovza01",15,-0.15,72551000,-1.05,30339.4089420321
"5975","AL",1992,"hoype01",11,-0.09,45356000,-0.63,30325.8037882454
"5976","NL",1998,"mooretr01",183,-0.11,59384000,-0.77,30324.5134132036
"5977","NL",2018,"gonzame01",66,-0.21,93638000,-1.47,30303.0464152994
"5978","NL",2019,"garcied01",117,-0.15,95819000,-1.05,30294.1552736354
